lat,lon
26.7244252,88.4135863
26.7269318,88.4121484
26.7279069,88.4121138
26.7306982,88.4099254
26.7344432,88.4087607
26.7365073,88.4074043
26.7437144,88.4018505
26.7445003,88.4009172
26.7448554,88.3998609
26.7457086,88.3975016
26.7465801,88.3956723
26.7477016,88.3945625
26.7530983,88.3916874
26.7580711,88.3890821
26.7611668,88.387479
26.7634601,88.3855483
26.7672337,88.3822656
26.7707933,88.3784611
26.7781235,88.3734677
26.7821659,88.3703795
26.786274,88.3659911
26.7885532,88.3640348
26.7895631,88.3636031
26.7923582,88.3632483
26.7953197,88.3625077
26.7987142,88.3589562
26.8011177,88.3552285
26.8023785,88.3539028
26.804872,88.3543597
26.8058345,88.3534419
26.8065259,88.3521942
26.8087379,88.3513068
26.8107182,88.3503577
26.8122638,88.3503539
26.8132988,88.3506129
26.8142094,88.3504186
26.8147575,88.3502106
26.8154597,88.3488568
26.8164251,88.3470878
26.817102,88.3468351
26.8176784,88.3460998
26.8181711,88.3450933
26.8187486,88.3450892
26.8194576,88.3446998
26.8197413,88.3438228
26.8200329,88.3424163
26.8208074,88.3421886
26.8213676,88.3421219
26.822188,88.3421622
26.822732,88.341554
26.8233826,88.3421969
26.8242141,88.3412318
26.8245041,88.3407152
26.8257458,88.3411971
26.8265141,88.3409832
26.8268165,88.3398904
26.8275278,88.3390308
26.8285155,88.3396807
26.8286022,88.3407735
26.8295328,88.3412249
26.8303817,88.3411429
26.8308699,88.3406152
26.8314104,88.3412291
26.8320796,88.3413469
26.8332057,88.3412558
26.8336062,88.3416224
26.8345152,88.3416602
26.8349336,88.3420034
26.8355561,88.3422612
26.8363581,88.3425833
26.8371968,88.3421437
26.8372823,88.3415647
26.8377642,88.3410389
26.8379592,88.3402906
26.837038,88.340176
26.8364215,88.3400837
26.8368341,88.3393393
26.8360874,88.3385891
26.8361378,88.3376591
26.837222,88.3372494
26.8377089,88.336662
26.8381936,88.3361628
26.8393744,88.3361642
26.8390833,88.3355601
26.8386756,88.3337673
26.8374963,88.3341173
26.836663,88.333633
26.8357228,88.3334125
26.8349422,88.3336469
26.8348725,88.3328241
26.8344713,88.3323797
26.8337009,88.332366
26.8326956,88.3314668
26.8332585,88.3318832
26.8339053,88.3320293
26.834638,88.3319459
26.8352767,88.3325481
26.8343815,88.3319249
26.8334738,88.3317513
26.8327531,88.3310352
26.8316596,88.3303895
26.8305241,88.3300085
26.8290519,88.3295758
26.8300162,88.3289249
26.8310404,88.3297355
26.8333003,88.3307787
26.8338208,88.331314
26.8349593,88.3310866
26.8360497,88.3313955
26.836962,88.3315084
26.838071,88.3315171
26.8388485,88.3317497
26.8393457,88.3316611
26.840306,88.3316993
26.8405929,88.3328149
26.8411378,88.3332356
26.8424529,88.3333266
26.8424333,88.3340691
26.8423115,88.3350831
26.8427112,88.3359127
26.8433682,88.3363908
26.8428629,88.3373214
26.8421324,88.3380083
26.8416293,88.3390091
26.842045,88.3399246
26.8418052,88.340835
26.8413055,88.3414855
26.841824,88.3415001
26.8416063,88.341179
26.8414618,88.3415187
26.8418711,88.341401
26.84213,88.3409873
26.8430697,88.3409851
26.843811,88.3412374
26.8444846,88.3416534
26.8439454,88.3426454
26.8447297,88.3435229
26.8446793,88.344347
26.8452633,88.3438415
26.8455042,88.3429546
26.8465175,88.3420234
26.8475206,88.3417958
26.8471402,88.3418996
26.8466864,88.3418243
26.8476948,88.3412246
26.847408,88.3402672
26.8470018,88.3400961
26.8474206,88.338575
26.846929,88.3376395
26.8470229,88.3369033
26.8470551,88.3359678
26.8473968,88.3351703
26.8482385,88.3334091
26.8488883,88.333147
26.8479696,88.3333244
26.8487931,88.3328252
26.8498407,88.3330002
26.8509512,88.3328228
26.8511417,88.3337317
26.8516836,88.3345873
26.8527714,88.3344504
26.8534952,88.335288
26.8543063,88.3353257
26.8547365,88.3365162
26.8546458,88.3377054
26.8554692,88.3376614
26.855206,88.3365538
26.854862,88.3354739
26.853763,88.3347568
26.8530202,88.3341855
26.85246,88.3339029
26.8517228,88.3335099
26.8514125,88.3319954
26.8493599,88.3316614
26.84856,88.3319163
26.8487728,88.331517
26.8499837,88.3313158
26.8516142,88.3316301
26.8520799,88.3331916
26.8526602,88.3334196
26.8533627,88.3332451
26.8546881,88.3339667
26.8554403,88.3344644
26.8558414,88.3355098
26.8567433,88.3355701
26.8578961,88.3360561
26.8591754,88.3360749
26.8588393,88.3355664
26.8582086,88.3349096
26.8579151,88.3343533
26.8581436,88.3329092
26.8574065,88.3326002
26.8566783,88.3320088
26.8563195,88.3317992
26.8559746,88.3309852
26.8568705,88.33029
26.8576777,88.3295406
26.8576799,88.3290295
26.8571915,88.3284431
26.8579376,88.3281869
26.8576485,88.3284594
26.8567885,88.327922
26.8559729,88.3273494
26.8552245,88.3272677
26.855359,88.3260095
26.8544213,88.3254971
26.8533834,88.325841
26.8526341,88.3257955
26.8517715,88.3249981
26.8517855,88.3239495
26.8527434,88.3232808
26.8530384,88.3224393
26.8522518,88.321708
26.8526467,88.3213438
26.8528526,88.3209012
26.8525375,88.3198856
26.8541354,88.3197412
26.854218,88.3190991
26.8542796,88.3180208
26.8547418,88.3172689
26.8551549,88.3164762
26.8561366,88.3156427
26.8574039,88.3155705
26.8583926,88.3155657
26.8581279,88.3148735
26.8578983,88.3140274
26.8581924,88.3133697
26.8583814,88.3131418
26.8593757,88.3121098
26.8601919,88.3117391
26.8605942,88.310734
26.8605633,88.3096713
26.8606628,88.3085631
26.8612383,88.3081063
26.8619595,88.3071253
26.8626832,88.3064366
26.8639768,88.3057239
26.8630932,88.3062666
26.8643079,88.3051934
26.8661421,88.3046342
26.867538,88.305503
26.8682727,88.3062423
26.8693785,88.3067266
26.8700377,88.3064483
26.8717131,88.3045273
26.8731071,88.3041678
26.8742262,88.3042664
26.8763775,88.3029519
26.8781134,88.3024551
26.8791411,88.3030655
26.8797079,88.3037821
26.8794885,88.304742
26.8795309,88.3059229
26.8795242,88.3078766
26.8791489,88.3094445
26.8788405,88.3101348
26.8778117,88.3101098
26.8773329,88.3110461
26.8777872,88.3119598
26.8783684,88.3126964
26.8781145,88.3134878
26.8777771,88.3145164
26.8783506,88.3148385
26.8793405,88.3155301
26.8800755,88.3160099
26.8808573,88.3169182
26.8812041,88.318162
26.8817209,88.3193234
26.881701,88.3207467
26.8820438,88.3214048
26.8821084,88.320643
26.8828326,88.319698
26.8820479,88.3189657
26.8814194,88.3177838
26.8814625,88.3167565
26.8807089,88.3153939
26.8790964,88.3145061
26.8788931,88.31357
26.8789856,88.312515
26.8789593,88.311477
26.8798979,88.3112231
26.8816269,88.3098757
26.8818118,88.3083692
26.8818589,88.3068984
26.8821013,88.3058614
26.8821675,88.3047098
26.8816587,88.3024362
26.8815431,88.3014482
26.8798948,88.3007616
26.8788612,88.3001044
26.8783466,88.2992926
26.8766721,88.2996136
26.8754663,88.3000159
26.8741824,88.3005629
26.872691,88.3005148
26.8711358,88.3011505
26.8696555,88.3012051
26.8684711,88.3002234
26.8668393,88.2998344
26.8663823,88.2991156
26.86727,88.2974339
26.8678778,88.2959184
26.8692624,88.294563
26.8692121,88.293104
26.869488,88.2920131
26.8697623,88.2908075
26.8698763,88.2896349
26.8702003,88.2877198
26.8695614,88.2866586
26.8696281,88.2860589
26.8700041,88.2854785
26.8721055,88.2850422
26.8729551,88.2843942
26.8728058,88.2830135
26.8738784,88.2828507
26.8743969,88.2821069
26.8753259,88.2813272
26.8767367,88.2819379
26.8775748,88.280839
26.8780646,88.2795374
26.8780058,88.2785647
26.8782893,88.2775379
26.8788362,88.2774377
26.8792992,88.2770589
26.8804596,88.2771108
26.8809292,88.2772672
26.8819674,88.2775275
26.8836683,88.277784
26.8857902,88.277961
26.8874593,88.2791002
26.8886746,88.279127
26.8900293,88.2795382
26.8907757,88.2809141
26.8913132,88.2821954
26.8917222,88.2817019
26.8921026,88.2806907
26.8935338,88.280139
26.894926,88.2795784
26.8958917,88.2806076
26.8966698,88.28181
26.8969849,88.2834024
26.8979376,88.2838673
26.8981775,88.2848058
26.897999,88.2861293
26.8987813,88.2866372
26.9000474,88.2861632
26.9009389,88.2855723
26.9026922,88.2853014
26.9039527,88.286546
26.9037446,88.2887669
26.9040125,88.2904084
26.9038762,88.2923503
26.9045339,88.2928814
26.9052018,88.2924274
26.9059172,88.2916939
26.9067919,88.290985
26.9077589,88.2918817
26.908569,88.2904379
26.9093248,88.2895098
26.9103891,88.2894401
26.9112987,88.2884753
26.9124102,88.2891665
26.9133262,88.2883538
26.9143366,88.2891162
26.9150195,88.2891316
26.9155631,88.290318
26.9166028,88.290293
26.9179516,88.2918648
26.91887,88.2934339
26.919554,88.2949707
26.9209029,88.2944181
26.9217112,88.294791
26.9229029,88.2959479
26.924278,88.2966909
26.925708,88.2978762
26.9264486,88.2980069
26.9276228,88.2986077
26.9289006,88.2990164
26.9303426,88.2994938
26.9315016,88.299399
26.9326566,88.2996887
26.9334361,88.3000642
26.9342731,88.2998067
26.9342515,88.298597
26.9345457,88.2976904
26.935448,88.2976163
26.9358345,88.2963145
26.9355883,88.2952818
26.9355245,88.2945398
26.9353353,88.2939593
26.9360306,88.2925407
26.9364156,88.291331
26.9379349,88.2910341
26.9384791,88.2901562
26.9392835,88.2900417
26.9405954,88.2900033
26.9414084,88.2904245
26.9417216,88.2892979
26.9428311,88.2896708
26.9436632,88.2892416
26.9437468,88.2883779
26.9444857,88.2891289
26.9452723,88.288791
26.9466647,88.289457
26.947119,88.28895
26.9478355,88.2892041
26.9487943,88.2896654
26.9495163,88.2901133
26.9500256,88.2903574
26.9505564,88.2910145
26.9510083,88.2915429
26.9519407,88.2914866
26.9533235,88.2918763
26.953808,88.2913766
26.9536319,88.2907176
26.9534741,88.2900793
26.9534709,88.2893569
26.9528708,88.2889224
26.9530198,88.2876975
26.9530007,88.2868445
26.9523615,88.2862027
26.9526779,88.285439
26.9522619,88.2845083
26.9521152,88.2834829
26.9527799,88.2830323
26.9538199,88.2826514
26.954683,88.2821096
26.9558554,88.2818046
26.9563885,88.2812494
26.9574118,88.2808176
26.9582644,88.2805298
26.9590303,88.2798439
26.9600033,88.2792136
26.9605723,88.2780227
26.9598807,88.277142
26.9601735,88.2762356
26.9601699,88.2754282
26.9601687,88.274763
26.9597689,88.2738553
26.9600466,88.2731988
26.9609336,88.2736205
26.9616211,88.273214
26.9630363,88.2735319
26.964473,88.2735078
26.9650453,88.2740356
26.9655739,88.2742856
26.9656611,88.2735775
26.9668589,88.2734219
26.9690254,88.2736516
26.9707399,88.2736043
26.9717555,88.2740611
26.9726272,88.2752311
26.9731603,88.2757433
26.9745502,88.2761376
26.9758383,88.2768479
26.9765308,88.2769825
26.9773052,88.2777644
26.9784645,88.2780944
26.9793681,88.2781076
26.9804209,88.278899
26.9814651,88.2792324
26.9818206,88.2790786
26.9822889,88.2784752
26.983582,88.2778878
26.9849266,88.2785676
26.9849134,88.2776035
